"","pC","pD","pM","rep","stability","oscilations","resilience"
"C128",0.01,0.43,0.56,15,TRUE,TRUE,0.217336589482828
"C129",0.01,0.49,0.5,20,TRUE,TRUE,0.202490583255054
"C130",0.01,0.34,0.65,16,TRUE,TRUE,0.208892573531338
"C131",0.01,0.4,0.59,19,TRUE,TRUE,0.209315428888601
"C132",0.01,0.33,0.66,4,TRUE,TRUE,0.251301635819368
"C133",0.01,0.41,0.58,12,TRUE,TRUE,0.214074874016572
"C134",0.01,0.26,0.73,3,TRUE,TRUE,0.193852802932124
"C135",0.01,0.34,0.65,4,TRUE,TRUE,0.20498163149301
"C136",0.01,0.16,0.83,6,TRUE,TRUE,0.198760676231557
"C137",0.01,0.28,0.71,9,TRUE,TRUE,0.206806692452228
"C138",0.01,0.34,0.65,12,TRUE,TRUE,0.264531687237934
"C139",0.02,0.31,0.67,13,TRUE,TRUE,0.236413926604491
"C140",0.02,0.29,0.69,15,TRUE,TRUE,0.230119614047624
"C141",0.01,0.34,0.65,17,TRUE,TRUE,0.314649888645201
"C142",0.01,0.29,0.7,1,TRUE,TRUE,0.204417612526112
"C143",0.01,0.21,0.78,2,TRUE,TRUE,0.198675721859315
"C144",0.01,0.3,0.69,3,TRUE,TRUE,0.196739833421272
"C145",0.01,0.24,0.75,10,TRUE,TRUE,0.239802697916935
"C146",0.01,0.17,0.82,2,TRUE,TRUE,0.201165059477315
"C147",0.01,0.19,0.8,11,TRUE,TRUE,0.199998489037962
"C148",0.01,0.14,0.85,14,TRUE,TRUE,0.20965938784766
"C149",0.01,0.22,0.77,10,TRUE,TRUE,0.217916920058433
"C150",0.01,0.16,0.83,18,TRUE,TRUE,0.218405178929269
"C151",0.01,0.14,0.85,6,TRUE,TRUE,0.200669939973953
"C152",0.01,0.13,0.86,11,TRUE,TRUE,0.204405162648315
"C156",0.0101010101010101,0.96969696969697,0.0202020202020202,17,TRUE,TRUE,0.262592838415386
"C157",0.01,0.73,0.26,11,TRUE,TRUE,0.296067711437685
"C158",0.01,0.65,0.34,12,TRUE,TRUE,0.236308496461366
"C159",0.01,0.66,0.33,17,TRUE,TRUE,0.232134730849029
"C160",0.01,0.73,0.26,19,TRUE,TRUE,0.238855259462482
"C161",0.01,0.7,0.29,20,TRUE,TRUE,0.235604564808242
"C162",0.01,0.62,0.37,1,TRUE,TRUE,0.239557735434966
"C163",0.0101010101010101,0.585858585858586,0.404040404040404,9,TRUE,TRUE,0.256459829756552
"C164",0.01,0.67,0.32,15,TRUE,TRUE,0.24784829722624
"C165",0.01,0.46,0.53,1,TRUE,TRUE,0.253596769477594
"C166",0.01,0.51,0.48,18,TRUE,TRUE,0.243829980608901
"C167",0.02,0.37,0.61,6,TRUE,TRUE,0.208213767612966
"C168",0.01,0.5,0.49,8,TRUE,TRUE,0.230595113956011
"C169",0.0101010101010101,0.474747474747475,0.515151515151515,11,TRUE,TRUE,0.235756740504864
"C170",0.01,0.47,0.52,14,TRUE,TRUE,0.201086910095992
"C171",0.01,0.38,0.61,16,TRUE,TRUE,0.228367941759396
"C172",0.01,0.26,0.73,2,TRUE,TRUE,0.206070170442721
"C173",0.01,0.41,0.58,7,TRUE,TRUE,0.240059007510755
"C174",0.01,0.4,0.59,5,TRUE,TRUE,0.199199057694468
"C175",0.01,0.31,0.68,4,TRUE,TRUE,0.207864052976788
"C176",0.0101010101010101,0.242424242424242,0.747474747474748,10,TRUE,TRUE,0.211717275930604
"C177",0.01,0.28,0.71,12,TRUE,TRUE,0.199835336395775
