"","time","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1",0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"2",1,0.456423157882429,0.454687850642527,0.454422479203041,0.455525458718847,0.44411900037041,0.447695315663153,0.436425320467081,0.456575726896955,0.455100364469385,0.452377277039434,0.441434840494717,0.450682929208798,0.445672697741726,0.462820730490674,0.4439662119212,0.460428838847442,0.453806436562147,0.449551842802963,0.450414562505837,0.457505150907661
"3",2,0.516079148437829,0.511168422197833,0.511109025263077,0.512882696110034,0.489190224722721,0.496212688914643,0.470706749762687,0.516405342244899,0.512373130094964,0.506975352935072,0.482473508594272,0.502650269135037,0.491119674848208,0.529385435402128,0.487986039464849,0.524388261520975,0.510479040112585,0.501089970258761,0.502331206148528,0.517732120697103
"4",3,0.577984545675141,0.568195565295922,0.568997269336519,0.570767391894264,0.534485510884896,0.544591219096167,0.502105948088367,0.578486309764091,0.570647577931567,0.562834414318401,0.522278854444002,0.554833388623682,0.535355888060462,0.598260118927613,0.531222721228358,0.590645136143676,0.569141039467307,0.553784532143448,0.554757654194364,0.579474744075801
"5",4,0.640981829122441,0.624467681649365,0.626936282515633,0.627826256083471,0.57925875939824,0.591875193338771,0.530093681773433,0.641637371901519,0.628667799085905,0.618890544434371,0.560090226008643,0.606138386723773,0.577494260635405,0.667791721983488,0.572899090476268,0.65777538858818,0.628774539268813,0.606716081903354,0.606661770476648,0.641405072451675
"6",5,0.703822135545335,0.678745432882469,0.683777254963336,0.682784652689773,0.62279547726536,0.637189161210542,0.554371273558593,0.704584930549849,0.685201255392699,0.674054314954524,0.595279075618632,0.65553701542172,0.616811337823289,0.736267165295317,0.612349558074751,0.72428630632881,0.688288517277031,0.658937855478696,0.657054085072355,0.702188508330261
"7",6,0.765261212912535,0.729956622608877,0.738461235234414,0.734556806651148,0.66445752970977,0.679799962522814,0.574863127009303,0.766063094014708,0.739141068410313,0.727293131405691,0.627386151622849,0.702145894568295,0.652787299998676,0.802080475767682,0.649055836973139,0.788747628966713,0.746596092470505,0.709541784891103,0.705062037063609,0.76059659474227
"8",7,0.824154791161331,0.777271679852668,0.790091468249546,0.782320882671286,0.70371777116929,0.719157528169411,0.591685863387344,0.824912590062034,0.789585948111231,0.777705557477645,0.656136458152725,0.745282618978016,0.685117655827828,0.863876487167058,0.682663628296816,0.849909354161024,0.802690935852842,0.757719569837726,0.749985359118123,0.81559937835733
"9",8,0.879543770620424,0.820143643281866,0.837984640808153,0.825553501252841,0.74018263830985,0.754912453929585,0.605101019362437,0.880168209916105,0.835890652495315,0.824580632827852,0.681432863706147,0.784494937084237,0.713699654170981,0.920652819433799,0.712981545663476,0.906793032878989,0.85571623469901,0.802813678965408,0.791328653293977,0.866428634286814
"10",9,0.93070436413329,0.858302682861252,0.881687516282318,0.864016210437885,0.773597196764964,0.786906671831055,0.615466078974225,0.931109002652588,0.87767349334885,0.867425166359292,0.703331416433811,0.819555962567324,0.738599686023213,0.971789218681444,0.73996417292617,0.958729630486455,0.905007053056379,0.844344150696902,0.828803031870792,0.912594688651338
