"","int","rep","stability","oscilations","eig.mean"
"1",0,1,TRUE,FALSE,-0.20154921853637
"2",0,2,TRUE,FALSE,-0.199370160214039
"3",0,3,TRUE,FALSE,-0.198494428294242
"4",0,4,TRUE,FALSE,-0.202439078548725
"5",0,5,TRUE,FALSE,-0.203474315694129
"6",0,6,TRUE,FALSE,-0.199720851041045
"7",0,7,TRUE,FALSE,-0.199715320241519
"8",0,8,TRUE,FALSE,-0.198265383484261
"9",0,9,TRUE,FALSE,-0.196381478945404
"10",0,10,TRUE,FALSE,-0.202078835359273
"11",0,11,TRUE,FALSE,-0.207429188142231
"12",0,12,TRUE,FALSE,-0.200561452331951
"13",0,13,TRUE,FALSE,-0.201914697576787
"14",0,14,TRUE,FALSE,-0.202095042094859
"15",0,15,TRUE,FALSE,-0.19865777386645
"16",0,16,TRUE,FALSE,-0.202806931255714
"17",0,17,TRUE,FALSE,-0.205908229905574
"18",0,18,TRUE,FALSE,-0.197861534856695
"19",0,19,TRUE,FALSE,-0.204301501264229
"20",0,20,TRUE,FALSE,-0.203644525841974
"21",0,21,TRUE,FALSE,-0.20080944989538
"22",0,22,TRUE,FALSE,-0.197508918607881
"23",0,23,TRUE,FALSE,-0.197147250256837
"24",0,24,TRUE,FALSE,-0.201447425552677
"25",0,25,TRUE,FALSE,-0.201619387415516
"26",0,26,TRUE,FALSE,-0.197008775052929
"27",0,27,TRUE,FALSE,-0.1980623420713
"28",0,28,TRUE,FALSE,-0.197479756694907
"29",0,29,TRUE,FALSE,-0.202367231862918
"30",0,30,TRUE,FALSE,-0.197253052325481
"31",0,31,TRUE,FALSE,-0.197481162487792
"32",0,32,TRUE,FALSE,-0.201895758438627
"33",0,33,TRUE,FALSE,-0.198742106902944
"34",0,34,TRUE,FALSE,-0.203321445657163
"35",0,35,TRUE,FALSE,-0.200951379476305
"36",0,36,TRUE,FALSE,-0.202448464320455
"37",0,37,TRUE,FALSE,-0.198121539925321
"38",0,38,TRUE,FALSE,-0.19424085757243
"39",0,39,TRUE,FALSE,-0.199569121574469
"40",0,40,TRUE,FALSE,-0.197644486379524
"41",0,41,TRUE,FALSE,-0.200836515314781
"42",0,42,TRUE,FALSE,-0.203215661777822
"43",0,43,TRUE,FALSE,-0.202115940950357
"44",0,44,TRUE,FALSE,-0.202784267528651
"45",0,45,TRUE,FALSE,-0.200970402138164
"46",0,46,TRUE,FALSE,-0.198300354942456
"47",0,47,TRUE,FALSE,-0.200203277020173
"48",0,48,TRUE,FALSE,-0.201603927874418
"49",0,49,TRUE,FALSE,-0.198383755751167
"50",0,50,TRUE,FALSE,-0.20078636092823
"51",0,51,TRUE,FALSE,-0.203708113618821
"52",0,52,TRUE,FALSE,-0.199189275166137
"53",0,53,TRUE,FALSE,-0.201701399663871
"54",0,54,TRUE,FALSE,-0.198056575178064
"55",0,55,TRUE,FALSE,-0.197527060203454
"56",0,56,TRUE,FALSE,-0.197558114626223
"57",0,57,TRUE,FALSE,-0.202511395170525
"58",0,58,TRUE,FALSE,-0.199192888062084
"59",0,59,TRUE,FALSE,-0.198710267835972
"60",0,60,TRUE,FALSE,-0.197420930415647
"61",0,61,TRUE,FALSE,-0.196614195697983
"62",0,62,TRUE,FALSE,-0.198275216312213
"63",0,63,TRUE,FALSE,-0.198601040533219
"64",0,64,TRUE,FALSE,-0.203744224630158
"65",0,65,TRUE,FALSE,-0.201516721955055
"66",0,66,TRUE,FALSE,-0.196938530705248
"67",0,67,TRUE,FALSE,-0.199992410886015
"68",0,68,TRUE,FALSE,-0.202499944445347
"69",0,69,TRUE,FALSE,-0.196105871125864
"70",0,70,TRUE,FALSE,-0.19924942410611
"71",0,71,TRUE,FALSE,-0.197249297645074
"72",0,72,TRUE,FALSE,-0.19866395630941
"73",0,73,TRUE,FALSE,-0.199766927648311
"74",0,74,TRUE,FALSE,-0.201553922466774
"75",0,75,TRUE,FALSE,-0.198640959419658
"76",0,76,TRUE,FALSE,-0.197930821138272
"77",0,77,TRUE,FALSE,-0.197856707956953
"78",0,78,TRUE,FALSE,-0.199932528526273
"79",0,79,TRUE,FALSE,-0.201113583192394
"80",0,80,TRUE,FALSE,-0.197011664008113
"81",0,81,TRUE,FALSE,-0.199308427667376
"82",0,82,TRUE,FALSE,-0.201433564283591
"83",0,83,TRUE,FALSE,-0.202751883926938
"84",0,84,TRUE,FALSE,-0.195839094374472
"85",0,85,TRUE,FALSE,-0.203028064806708
"86",0,86,TRUE,FALSE,-0.199735501353841
"87",0,87,TRUE,FALSE,-0.197748547955059
"88",0,88,TRUE,FALSE,-0.199356555384577
"89",0,89,TRUE,FALSE,-0.199548696693549
"90",0,90,TRUE,FALSE,-0.193892851559643
"91",0,91,TRUE,FALSE,-0.200934976784975
"92",0,92,TRUE,FALSE,-0.198783727027712
"93",0,93,TRUE,FALSE,-0.19579896847877
"94",0,94,TRUE,FALSE,-0.197329781762086
"95",0,95,TRUE,FALSE,-0.199927916999587
"96",0,96,TRUE,FALSE,-0.19876202933524
"97",0,97,TRUE,FALSE,-0.201727329217387
"98",0,98,TRUE,FALSE,-0.201420399177635
"99",0,99,TRUE,FALSE,-0.201135798041895
"100",0,100,TRUE,FALSE,-0.201165398369887
"101",1,1,TRUE,TRUE,-0.205455340351525
"102",1,2,TRUE,FALSE,-0.188968184943828
"103",1,3,TRUE,TRUE,-0.203938460394772
"104",1,4,TRUE,TRUE,-0.209748148947999
"105",1,5,TRUE,TRUE,-0.189569488938193
"106",1,6,TRUE,FALSE,-0.188434062227181
"107",1,7,TRUE,TRUE,-0.208582486243991
"108",1,8,TRUE,TRUE,-0.193802663546196
"109",1,9,TRUE,TRUE,-0.201536962881233
"110",1,10,TRUE,FALSE,-0.203397307807032
"111",1,11,TRUE,TRUE,-0.19264841386749
"112",1,12,TRUE,TRUE,-0.205068328099228
"113",1,13,TRUE,FALSE,-0.203405893401785
"114",1,14,TRUE,TRUE,-0.19221064230036
"115",1,15,TRUE,FALSE,-0.214882857384458
"116",1,16,TRUE,TRUE,-0.206394747361589
"117",1,17,TRUE,TRUE,-0.195827318487515
"118",1,18,TRUE,FALSE,-0.204637043696407
"119",1,19,TRUE,FALSE,-0.200426329271571
"120",1,20,TRUE,TRUE,-0.211807073460225
"121",1,21,TRUE,TRUE,-0.201908174141701
"122",1,22,TRUE,TRUE,-0.193935467910678
"123",1,23,TRUE,TRUE,-0.198837924931406
"124",1,24,TRUE,TRUE,-0.21347157979872
"125",1,25,TRUE,FALSE,-0.209861962150959
"126",1,26,TRUE,TRUE,-0.201882544904304
"127",1,27,TRUE,TRUE,-0.200153000570608
"128",1,28,TRUE,TRUE,-0.204875380820341
"129",1,29,TRUE,TRUE,-0.203720117842395
"130",1,30,TRUE,TRUE,-0.20195088948157
"131",1,31,TRUE,FALSE,-0.185009832272687
"132",1,32,TRUE,FALSE,-0.200182419538963
"133",1,33,TRUE,TRUE,-0.201549533296202
"134",1,34,TRUE,TRUE,-0.200435701187935
"135",1,35,TRUE,TRUE,-0.212288663025743
"136",1,36,TRUE,FALSE,-0.211374517350876
"137",1,37,TRUE,TRUE,-0.198901252129481
"138",1,38,TRUE,FALSE,-0.195738091288661
"139",1,39,TRUE,FALSE,-0.209093597331312
"140",1,40,TRUE,TRUE,-0.215552529620894
"141",1,41,TRUE,FALSE,-0.199220914275081
"142",1,42,TRUE,TRUE,-0.203053030406995
"143",1,43,TRUE,FALSE,-0.185854860779063
"144",1,44,TRUE,TRUE,-0.193640367841268
"145",1,45,TRUE,FALSE,-0.20525333975803
"146",1,46,TRUE,FALSE,-0.20847337417557
"147",1,47,TRUE,TRUE,-0.189079035276071
"148",1,48,TRUE,TRUE,-0.215631184733319
"149",1,49,TRUE,TRUE,-0.190184117449528
"150",1,50,TRUE,FALSE,-0.198127978562195
"151",1,51,TRUE,TRUE,-0.214133724814798
"152",1,52,TRUE,FALSE,-0.178360263630513
"153",1,53,TRUE,TRUE,-0.197825303603455
"154",1,54,TRUE,TRUE,-0.193185399971381
"155",1,55,TRUE,FALSE,-0.202835850250954
"156",1,56,TRUE,TRUE,-0.202023576156575
"157",1,57,TRUE,FALSE,-0.199924897012982
"158",1,58,TRUE,TRUE,-0.20236878490021
"159",1,59,TRUE,TRUE,-0.196284529884027
"160",1,60,TRUE,TRUE,-0.1937975162415
"161",1,61,TRUE,TRUE,-0.190508964471754
"162",1,62,TRUE,TRUE,-0.197275702056558
"163",1,63,TRUE,TRUE,-0.21766844541774
"164",1,64,TRUE,TRUE,-0.189977659628717
"165",1,65,TRUE,FALSE,-0.187248655607594
"166",1,66,TRUE,TRUE,-0.20141687559265
"167",1,67,TRUE,TRUE,-0.199040246283092
"168",1,68,TRUE,TRUE,-0.202519278492945
"169",1,69,TRUE,TRUE,-0.199123710451821
"170",1,70,TRUE,TRUE,-0.195099423778973
"171",1,71,TRUE,TRUE,-0.190742159538722
"172",1,72,TRUE,TRUE,-0.207367261996574
"173",1,73,TRUE,TRUE,-0.193431877332378
"174",1,74,TRUE,TRUE,-0.196887586820101
"175",1,75,TRUE,FALSE,-0.194329864271669
"176",1,76,TRUE,FALSE,-0.194163170088127
"177",1,77,TRUE,TRUE,-0.21657228381558
"178",1,78,TRUE,TRUE,-0.208803623288326
"179",1,79,TRUE,FALSE,-0.214023506814366
"180",1,80,TRUE,TRUE,-0.200731181788811
"181",1,81,TRUE,TRUE,-0.200754987231785
"182",1,82,TRUE,TRUE,-0.204190700997308
"183",1,83,TRUE,TRUE,-0.198782688313201
"184",1,84,TRUE,FALSE,-0.204944916906501
"185",1,85,TRUE,TRUE,-0.201806838290643
"186",1,86,TRUE,FALSE,-0.211587545375579
"187",1,87,TRUE,FALSE,-0.196627173610769
"188",1,88,TRUE,TRUE,-0.209778037494919
"189",1,89,TRUE,FALSE,-0.193659212281671
"190",1,90,TRUE,TRUE,-0.205541770207627
"191",1,91,TRUE,TRUE,-0.210702103458536
"192",1,92,TRUE,TRUE,-0.201815961214076
"193",1,93,TRUE,TRUE,-0.2017934236015
"194",1,94,TRUE,TRUE,-0.207606374141015
"195",1,95,TRUE,TRUE,-0.210345506477235
"196",1,96,TRUE,TRUE,-0.193457821642117
"197",1,97,TRUE,TRUE,-0.193529351605773
"198",1,98,TRUE,TRUE,-0.19282245235885
"199",1,99,TRUE,FALSE,-0.196914704679257
"200",1,100,TRUE,TRUE,-0.213561354897455
"201",2,1,TRUE,TRUE,-0.20355731490752
"202",2,2,TRUE,TRUE,-0.214405948825066
"203",2,3,TRUE,TRUE,-0.206826178158071
"204",2,4,TRUE,TRUE,-0.20413153151603
"205",2,5,TRUE,TRUE,-0.20018192238835
"206",2,6,TRUE,TRUE,-0.212528698243646
"207",2,7,TRUE,FALSE,-0.209761655453439
"208",2,8,TRUE,TRUE,-0.204575256279916
"209",2,9,TRUE,TRUE,-0.193104030498861
"210",2,10,TRUE,TRUE,-0.203286899514243
"211",2,11,TRUE,TRUE,-0.218974274188512
"212",2,12,TRUE,TRUE,-0.180183745041678
"213",2,13,TRUE,TRUE,-0.192493655427069
"214",2,14,TRUE,TRUE,-0.214232839692902
"215",2,15,TRUE,TRUE,-0.185597092489322
"216",2,16,TRUE,TRUE,-0.185653968502592
"217",2,17,TRUE,TRUE,-0.199120684729863
"218",2,18,TRUE,TRUE,-0.195065722049515
"219",2,19,TRUE,TRUE,-0.197602168548582
"220",2,20,TRUE,TRUE,-0.186914767145092
"221",2,21,TRUE,TRUE,-0.20916417166457
"222",2,22,TRUE,TRUE,-0.183097614325799
"223",2,23,TRUE,TRUE,-0.217062749811686
"224",2,24,TRUE,TRUE,-0.212422477812936
"225",2,25,TRUE,TRUE,-0.210572224477095
"226",2,26,TRUE,TRUE,-0.199551053978846
