"","sIntProp","rep","stability","oscilations","resilience"
"112",0,112,TRUE,TRUE,0.262006658289636
"113",0,113,TRUE,TRUE,0.291233648947621
"114",0,114,TRUE,TRUE,0.291943563395604
"115",0,115,TRUE,TRUE,0.282549601189406
"116",0,116,TRUE,TRUE,0.270647850848687
"117",0,117,TRUE,TRUE,0.24907987447525
"118",0,118,TRUE,TRUE,0.342458996348714
"119",0,119,TRUE,TRUE,0.306787728176932
"120",0,120,TRUE,TRUE,0.272419949288761
"121",0,121,TRUE,TRUE,0.277026679391288
"122",0,122,TRUE,TRUE,0.252055911221894
"123",0,123,TRUE,TRUE,0.277093895607034
"124",0,124,TRUE,TRUE,0.289606598092693
"125",0,125,TRUE,TRUE,0.29684694629006
"126",0,126,TRUE,TRUE,0.274494138473246
"127",0,127,TRUE,TRUE,0.265322861120654
"128",0,128,TRUE,TRUE,0.264846478966134
"129",0,129,TRUE,TRUE,0.240719641125463
"130",0,130,TRUE,TRUE,0.242602943520601
"131",0,131,TRUE,TRUE,0.256439521328907
"132",0,132,TRUE,TRUE,0.258815600632262
"133",0,133,TRUE,TRUE,0.325787685863867
"134",0,134,TRUE,TRUE,0.257110379906997
"135",0,135,TRUE,TRUE,0.291725930859872
"136",0,136,TRUE,TRUE,0.306962692163315
"137",0,137,TRUE,TRUE,0.269331420324909
"138",0,138,TRUE,TRUE,0.254950213324451
"139",0,139,TRUE,TRUE,0.26792880750951
"140",0,140,TRUE,TRUE,0.282342200536712
"141",0,141,TRUE,TRUE,0.295881685004709
"142",0,142,TRUE,TRUE,0.246449968057926
"143",0,143,TRUE,TRUE,0.248602962337119
"144",0,144,TRUE,TRUE,0.313751418786981
"145",0,145,TRUE,TRUE,0.263010748563848
"146",0,146,TRUE,TRUE,0.304644184046172
"147",0,147,TRUE,TRUE,0.282305316906301
"148",0,148,TRUE,TRUE,0.292465225633555
"149",0,149,TRUE,TRUE,0.263464047619359
"150",0,150,TRUE,TRUE,0.282055965872357
"151",0,151,TRUE,TRUE,0.276864056752641
"152",0,152,TRUE,TRUE,0.240205802527893
"153",0,153,TRUE,TRUE,0.252253925571042
"154",0,154,TRUE,TRUE,0.270785390345915
"155",0,155,TRUE,TRUE,0.265021207898367
"156",0,156,TRUE,TRUE,0.270409649990461
"157",0,157,TRUE,TRUE,0.26700494077577
"158",0,158,TRUE,TRUE,0.264539679272371
"159",0,159,TRUE,TRUE,0.277989400593811
"160",0,160,TRUE,TRUE,0.242857239674767
"161",0,161,TRUE,TRUE,0.271526469924802
"162",0,162,TRUE,TRUE,0.246322383044322
"163",0,163,TRUE,TRUE,0.260824133524602
"164",0,164,TRUE,TRUE,0.278721465731662
"165",0,165,TRUE,TRUE,0.278667658831373
"166",0,166,TRUE,TRUE,0.245891474714583
"167",0,167,TRUE,TRUE,0.295615418017964
"168",0,168,TRUE,TRUE,0.25480397146453
"169",0,169,TRUE,TRUE,0.28677218047718
"170",0,170,TRUE,TRUE,0.252711250696374
"171",0,171,TRUE,TRUE,0.274486146129926
"172",0,172,TRUE,TRUE,0.266342416109755
"173",0,173,TRUE,TRUE,0.280784762915384
"174",0,174,TRUE,TRUE,0.258880549618912
"175",0,175,TRUE,TRUE,0.259675464681093
"176",0,176,TRUE,TRUE,0.277205222087321
"177",0,177,TRUE,TRUE,0.296030052548928
"178",0,178,TRUE,TRUE,0.267633508808875
"179",0,179,TRUE,TRUE,0.309655261584488
"180",0,180,TRUE,TRUE,0.254106928354272
"181",0,181,TRUE,TRUE,0.282804760559682
"182",0,182,TRUE,TRUE,0.259504231557595
"183",0,183,TRUE,TRUE,0.284171581596983
"184",0,184,TRUE,TRUE,0.28472501843938
"185",0,185,TRUE,TRUE,0.263621798097224
"186",0,186,TRUE,TRUE,0.263812082721799
"187",0,187,TRUE,TRUE,0.254374584309075
"188",0,188,TRUE,TRUE,0.266506347750997
"189",0,189,TRUE,TRUE,0.276239868104328
"190",0,190,TRUE,TRUE,0.272261073132078
"191",0,191,TRUE,TRUE,0.261156660605345
"192",0,192,TRUE,TRUE,0.308300665618825
"193",0,193,TRUE,TRUE,0.250849489353336
"194",0,194,TRUE,TRUE,0.251787847297676
"195",0,195,TRUE,TRUE,0.264277158340517
"196",0,196,TRUE,TRUE,0.238901562591543
"197",0,197,TRUE,TRUE,0.263903625813214
"198",0,198,TRUE,TRUE,0.26032831978583
"199",0,199,TRUE,TRUE,0.280585882425216
"200",0,200,TRUE,TRUE,0.258141414229927
"201",0.05,1,TRUE,TRUE,0.306445817381859
"202",0.05,2,TRUE,TRUE,0.264562221721571
"203",0.05,3,TRUE,TRUE,0.277487512259598
"204",0.05,4,TRUE,TRUE,0.277632948408961
"205",0.05,5,TRUE,TRUE,0.307750159822415
"206",0.05,6,TRUE,TRUE,0.305301610027927
"207",0.05,7,TRUE,TRUE,0.310810773095061
"208",0.05,8,TRUE,TRUE,0.373610089667517
"209",0.05,9,TRUE,TRUE,0.303457880076047
"210",0.05,10,TRUE,TRUE,0.263808793381026
"211",0.05,11,TRUE,TRUE,0.346844558167688
"212",0.05,12,TRUE,TRUE,0.29562325106405
"213",0.05,13,TRUE,TRUE,0.288971750440215
"214",0.05,14,TRUE,TRUE,0.263060179756129
"215",0.05,15,TRUE,TRUE,0.260928159670089
"216",0.05,16,TRUE,TRUE,0.261441608408477
"217",0.05,17,TRUE,TRUE,0.326293529812412
"218",0.05,18,TRUE,TRUE,0.351020149236249
"219",0.05,19,TRUE,TRUE,0.274858191724585
"220",0.05,20,TRUE,TRUE,0.285014520848345
"221",0.05,21,TRUE,TRUE,0.271354403311998
"222",0.05,22,TRUE,TRUE,0.284369381078095
"223",0.05,23,TRUE,TRUE,0.307771032144795
"224",0.05,24,TRUE,TRUE,0.358798004906881
"225",0.05,25,TRUE,TRUE,0.273541799165271
"226",0.05,26,TRUE,TRUE,0.262848987822353
"227",0.05,27,TRUE,TRUE,0.306757922932191
"228",0.05,28,TRUE,TRUE,0.294458310242345
"229",0.05,29,TRUE,TRUE,0.283111483539026
"230",0.05,30,TRUE,TRUE,0.306519133371226
"231",0.05,31,TRUE,TRUE,0.261739404996233
"232",0.05,32,TRUE,TRUE,0.28370543489965
"233",0.05,33,TRUE,TRUE,0.312368818223719
"234",0.05,34,TRUE,TRUE,0.2668660039895
"235",0.05,35,TRUE,TRUE,0.279684269579429
"236",0.05,36,TRUE,TRUE,0.286034107839153
"237",0.05,37,TRUE,TRUE,0.294788072340984
"238",0.05,38,TRUE,TRUE,0.255388735746391
"239",0.05,39,TRUE,TRUE,0.279242028971951
"240",0.05,40,TRUE,TRUE,0.276052296751625
"241",0.05,41,TRUE,TRUE,0.299368899580601
"242",0.05,42,TRUE,TRUE,0.280347676522616
"243",0.05,43,TRUE,TRUE,0.35343529476328
"244",0.05,44,TRUE,TRUE,0.304814956503591
"245",0.05,45,TRUE,TRUE,0.351304471848039
"246",0.05,46,TRUE,TRUE,0.243924978522437
"247",0.05,47,TRUE,TRUE,0.295977930213705
"248",0.05,48,TRUE,TRUE,0.329254952118571
"249",0.05,49,TRUE,TRUE,0.301126223557938
"250",0.05,50,TRUE,TRUE,0.322112945079659
"251",0.05,51,TRUE,TRUE,0.337851736374938
"252",0.05,52,TRUE,TRUE,0.263332608836878
"253",0.05,53,TRUE,TRUE,0.300718962140285
"254",0.05,54,TRUE,TRUE,0.289819738005887
"255",0.05,55,TRUE,TRUE,0.364136023236523
"256",0.05,56,TRUE,TRUE,0.286807240751261
"257",0.05,57,TRUE,TRUE,0.294079344725802
"258",0.05,58,TRUE,TRUE,0.305004121784864
"259",0.05,59,TRUE,TRUE,0.260015293688853
"260",0.05,60,TRUE,TRUE,0.29910365778262
"261",0.05,61,TRUE,TRUE,0.297109549344892
"262",0.05,62,TRUE,TRUE,0.270178470610605
"263",0.05,63,TRUE,TRUE,0.339271674898927
"264",0.05,64,TRUE,TRUE,0.306956524497375
"265",0.05,65,TRUE,TRUE,0.263142003140699
"266",0.05,66,TRUE,TRUE,0.279256896126917
"267",0.05,67,TRUE,TRUE,0.335847808902793
"268",0.05,68,TRUE,TRUE,0.31028942880826
"269",0.05,69,TRUE,TRUE,0.269710439100883
"270",0.05,70,TRUE,TRUE,0.254467440701675
"271",0.05,71,TRUE,TRUE,0.281500798853618
"272",0.05,72,TRUE,TRUE,0.327450160754029
"273",0.05,73,TRUE,TRUE,0.276804992557328
"274",0.05,74,TRUE,TRUE,0.304146706600893
"275",0.05,75,TRUE,TRUE,0.31475410855214
"276",0.05,76,TRUE,TRUE,0.259386154118459
"277",0.05,77,TRUE,TRUE,0.264441881329359
"278",0.05,78,TRUE,TRUE,0.307871744482289
"279",0.05,79,TRUE,TRUE,0.306816157777358
"280",0.05,80,TRUE,TRUE,0.296127610624606
"281",0.05,81,TRUE,TRUE,0.292169909683431
"282",0.05,82,TRUE,TRUE,0.269112349363224
"283",0.05,83,TRUE,TRUE,0.324945411217586
"284",0.05,84,TRUE,TRUE,0.259861138868254
"285",0.05,85,TRUE,TRUE,0.275421464637069
"286",0.05,86,TRUE,TRUE,0.28804809667014
"287",0.05,87,TRUE,TRUE,0.318228255279945
"288",0.05,88,TRUE,TRUE,0.292377405184465
"289",0.05,89,TRUE,TRUE,0.271308834883656
"290",0.05,90,TRUE,TRUE,0.273754087886402
"291",0.05,91,TRUE,TRUE,0.317194791893734
"292",0.05,92,TRUE,TRUE,0.295245391071221
"293",0.05,93,TRUE,TRUE,0.267644005322693
"294",0.05,94,TRUE,TRUE,0.274850080729403
"295",0.05,95,TRUE,TRUE,0.277343305479992
"296",0.05,96,TRUE,TRUE,0.265966483984475
"297",0.05,97,TRUE,TRUE,0.272520815092043
"298",0.05,98,TRUE,TRUE,0.324029160796441
"299",0.05,99,TRUE,TRUE,0.339762748912963
"300",0.05,100,TRUE,TRUE,0.316901207853506
